gerado_em,,,,,,,,
21/05/2024,,,,,count ,,,
21/05/2024,,,,21/05/2024,390,,Total:,12377
21/05/2024,,,,22/05/2024,1185,,Média por dia,"386,8"
21/05/2024,,,,23/05/2024,694,,,
21/05/2024,,,,24/05/2024,907,,,
21/05/2024,,,,25/05/2024,636,,,
21/05/2024,,,,26/05/2024,380,,,
21/05/2024,,,,27/05/2024,836,,,
21/05/2024,,,,28/05/2024,273,,,
21/05/2024,,,,29/05/2024,428,,,
21/05/2024,,,,30/05/2024,181,,,
21/05/2024,,,,31/05/2024,166,,,
21/05/2024,,,,01/06/2024,190,,,
21/05/2024,,,,02/06/2024,136,,,
21/05/2024,,,,03/06/2024,271,,,
21/05/2024,,,,04/06/2024,315,,,
21/05/2024,,,,05/06/2024,436,,,
21/05/2024,,,,06/06/2024,799,,,
21/05/2024,,,,07/06/2024,536,,,
21/05/2024,,,,08/06/2024,623,,,
21/05/2024,,,,09/06/2024,551,,,
21/05/2024,,,,10/06/2024,300,,,
21/05/2024,,,,11/06/2024,368,,,
21/05/2024,,,,12/06/2024,336,,,
21/05/2024,,,,13/06/2024,388,,,
21/05/2024,,,,14/06/2024,385,,,
21/05/2024,,,,15/06/2024,186,,,
21/05/2024,,,,16/06/2024,94,,,
21/05/2024,,,,17/06/2024,387,,,
21/05/2024,,,,18/06/2024,505,,,
21/05/2024,,,,19/06/2024,297,,,
21/05/2024,,,,20/06/2024,303,,,
21/05/2024,,,,21/06/2024,316,,,
